ID,Bucket,Criterion,What pass requires,Notes,Conditional
G1,G — Girdi,Fiyat kanalı ölçüldü (K1 kapısı),"K1 en az bir tam fiyat kanalını motorun KENDİ parseriyle ölçmüş olmalı. Pass = katmanlar[K1-LLM].gecti true VE olcumler.m15_bar > 0 VE h4_bar > 0 (ya da profil alanı dolu bir ohlcv_csv). Fail = K1 kapısı kapalı, bar sayısı VERİ YOK, ya da gecti true iken hiç ölçüm yok.",Kapı: piramit.py:390-396 — (m15_ok and h4_ok) or bool(p_csv). Kapı kapalıysa üst katmanlar KOŞMAZ; eksik veriyle karar uydurulmaz.,
G2,G — Girdi,K1 çıkarım yapmadı (taban katman yalnız ölçer),"Taban katman yön/karar üretmemeli. Pass = k1 sözlüğünde 'karar', 'yon', 'stance', 'sinyal' anahtarlarının HİÇBİRİ yok. Fail = biri bile var (ölçüm katmanı yorum üretmiş = HAFIZA ihlali).",Aynı yasak liste gozlemci.py:105-108'de denetlenir.,
G3,G — Girdi,Zorunlu girdilerin İKİSİ de geldi,CoinGlass likidasyon ve grafik görsel okuması birlikte beklenir. Pass = zorunlu_girdiler'de hem 'likidasyon' hem 'gorsel' var VE zorunlu_eksik boş. Fail = biri eksik/okunamadı ya da zorunlu_eksik dolu.,piramit.py:306-369. Eksik girdi koşuyu DURDURMAZ ama çıktının en üstünde taşınır — bunu Ç5 ayrıca denetler.,
G4,G — Girdi,Elle gelen girdi TAZE ve damgalı,Elle gelen her zorunlu girdi hangi bara ait olduğunu zaman damgasıyla KANITLAMALI; son bardan 240 dk'dan eski okuma BAYAT sayılır. Pass = zorunlu_tazelik satırlarının tamamı var ve hiçbiri 'BAYAT' ya da 'zaman damgası YOK' demiyor. Fail = damgasız ya da bayat okuma var (yeni kline eski panelle birleştirilmiş).,Eşik: piramit.py:114 zorunlu_damga_tolerans_dk = 240; ölçüm piramit.py:313-330.,
G5,G — Girdi,Eksik kanal sessizce düşmedi,VERİ YOK olan her kanalın gerekçesi yazılı olmalı. Pass = kanallar'da değeri 'VERİ YOK' olan her ad için eksikler listesinde o adı içeren bir satır var. Fail = gerekçesiz düşen kanal (sessiz kayıp).,Aynı eşleştirme gozlemci.py:113-121.,
G6,G — Girdi,HESAP VERME — önceki kararın akıbeti ölçüldü,Önceki koşu kaydı varsa YENİ analizden ÖNCE akıbet ölçülmeli. Pass = onceki_karar_akibeti.durum 'ÖLÇÜLDÜ' (gercek_r sayısal) YA DA ölçülemedi ise mekanik gerekçe (sonuc/durum metni) yazılı. Fail = durum 'ölçüm HATASI' ile başlıyor ya da alan boş.,"gozlemci.py:122-136 aynı ayrımı yapar (HATA = İHLAL, ölçülemedi = uyarı). Ölçüm kiyas.akibet_olc → akibet_etiketle.simule_et ile, muhafazakâr kurallarla.",onceki-kosu-kaydi-var
KP1,KP — Kapı,K2 çoklu motor kapısı,En az 2 motor BAĞIMSIZ sayısal sonuç üretmeli. Pass = k2.gecti true VE motor_sayisi >= 2. Fail = tek motor (tek motor ÇOKLU-AJAN değildir) ya da kapı kapalı.,Eşik: piramit.py:106 min_motor_k2 = 2; kapı piramit.py:575-580.,
KP2,KP — Kapı,K3 danışman kurulu kapısı,Kurul en az 2 danışmanla kurulmalı. Pass = k3.gecti true VE danismanlar sayısı >= 2. Fail = daha az danışman (kurul kurulamaz).,Eşik: piramit.py:107 min_danisman_k3 = 2; kapı piramit.py:743-747.,
KP3,KP — Kapı,Motor çıktısı şema derinliğini karşıladı,Koşan her motor kendi zorunlu alanlarını taşımalı (karar-motoru: karar/son_bar_utc/rejim_4h; smc_tespit: trend/atr/rejim; grafik-calisma: KARAR/confluence_skoru/kapi_gerekceleri; setup_dogrulama: SONUC/sinyal_izni/gerekce; turev-akis: rapor/danisman; smc_tespit_h4: trend/atr/likidite; korelasyon: korelasyon/beta/gozlem/HUKUM). Pass = koşan motorların tamamında alanlar eksiksiz. Fail = herhangi bir motorda eksik alan (yüzeysel/yarım koşu).,Alan listesi gozlemci.py:57-65 (SEMA_DERINLIK) — birebir aynı sözlük.,
KP4,KP — Kapı,Sessiz kayıp yok — koşan motor ya kurulda ya gerekçeli dışarıda,Yön üretebilen (karar-motoru / grafik-calisma / turev-akis) ve K2'de koşan her motor kurula girmeli ya da k3.notlar'da gerekçesi yazılmalı; ayrıca k2.hatalar'daki her kayıt motor + hata alanını taşımalı. Pass = ikisi de sağlanır. Fail = K2'de koşup kurula girmeyen ve gerekçesi yazılmayan motor var.,gozlemci.py:175-182 (sessiz kayıp) ve 255-268 (gerekçesiz düşen danışman).,
